DATAFLOW,FREQ: Frequency,COUNTRY: Country,REGION: Tourist region,TIME_PERIOD: Time period,OBS_VALUE,OBS_STATUS: Observation status,DECIMALS: Decimals,NOTE_COUNTRY_2: Note Country 2,NOTE_COUNTRY_1: Note Country 1,NOTE_REGION_2: Note Region 2,NOTE_REGION_1: Note Region 1,NOTE_YEAR_2: Note year 2,NOTE_YEAR_1: Note year 1
LU1:DF_D5303(1.0),A: Annual,SSL01: Luxembourg,R01: Total,2016,2.939878481,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL01: Luxembourg,R01: Total,2017,2.889293663,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL01: Luxembourg,R01: Total,2018,2.849774121,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL01: Luxembourg,R01: Total,2019,2.799716447,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL01: Luxembourg,R01: Total,2020,2.35438895,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL01: Luxembourg,R01: Total,2021,3.118803111,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SL05: Ukraine,R02: Centre,2011,2.04887218,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SL05: Ukraine,R02: Centre,2012,1.769140165,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SL05: Ukraine,R02: Centre,2013,2.021505376,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SL05: Ukraine,R02: Centre,2014,1.870345745,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SL05: Ukraine,R02: Centre,2015,2.145723337,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SL05: Ukraine,R02: Centre,2016,2.568469505,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SL05: Ukraine,R02: Centre,2017,2.548906789,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SL05: Ukraine,R02: Centre,2018,2.37710084,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SL05: Ukraine,R02: Centre,2019,2.016183986,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SL05: Ukraine,R02: Centre,2020,1.532125206,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SL05: Ukraine,R02: Centre,2021,1.849404117,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL15: Ireland,R02: Centre,2011,3.048881524,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL15: Ireland,R02: Centre,2012,2.421446384,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL15: Ireland,R02: Centre,2013,2.180874185,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL15: Ireland,R02: Centre,2014,2.477371628,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL15: Ireland,R02: Centre,2015,2.278638874,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL15: Ireland,R02: Centre,2016,2.480648236,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL15: Ireland,R02: Centre,2017,2.259286914,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL15: Ireland,R02: Centre,2018,2.352069402,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL15: Ireland,R02: Centre,2019,2.211695906,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL15: Ireland,R02: Centre,2020,1.994458931,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL15: Ireland,R02: Centre,2021,2.211695906,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL18: Lithuania,R01: Total,2011,2.328145266,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL18: Lithuania,R01: Total,2012,2.327405012,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL18: Lithuania,R01: Total,2013,2.31541502,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL18: Lithuania,R01: Total,2014,2.044187627,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL18: Lithuania,R01: Total,2015,1.996791444,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL18: Lithuania,R01: Total,2016,2.374601149,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL18: Lithuania,R01: Total,2017,2.277195282,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL18: Lithuania,R01: Total,2018,2.315295815,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL18: Lithuania,R01: Total,2019,2.259986902,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL18: Lithuania,R01: Total,2020,1.702517162,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL18: Lithuania,R01: Total,2021,2.259986902,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL11: Finland,R02: Centre,2011,1.985776236,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL11: Finland,R02: Centre,2012,1.841966782,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL11: Finland,R02: Centre,2013,2.040415704,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL11: Finland,R02: Centre,2014,2.09739369,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL11: Finland,R02: Centre,2015,1.805733299,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL11: Finland,R02: Centre,2016,2.008039047,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL11: Finland,R02: Centre,2017,1.865360303,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL11: Finland,R02: Centre,2018,2.056254136,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL11: Finland,R02: Centre,2019,1.847883598,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL11: Finland,R02: Centre,2020,1.660630449,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL11: Finland,R02: Centre,2021,1.847883598,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL26: Slovakia,R06: Mullerthal,2011,2.1875,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL26: Slovakia,R06: Mullerthal,2012,1.406779661,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL26: Slovakia,R06: Mullerthal,2013,3.764705882,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL26: Slovakia,R06: Mullerthal,2014,2.347826087,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL26: Slovakia,R06: Mullerthal,2015,2.631578947,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL26: Slovakia,R06: Mullerthal,2016,1.533333333,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL26: Slovakia,R06: Mullerthal,2017,1.333333333,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL26: Slovakia,R06: Mullerthal,2018,2.638888889,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL26: Slovakia,R06: Mullerthal,2019,1.80952381,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL26: Slovakia,R06: Mullerthal,2020,1,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL26: Slovakia,R06: Mullerthal,2021,1.80952381,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL22: Portugal,R08: Southern region,2011,1.517589577,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL22: Portugal,R08: Southern region,2012,1.840275124,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL22: Portugal,R08: Southern region,2013,1.74893617,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL22: Portugal,R08: Southern region,2014,1.830789648,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL22: Portugal,R08: Southern region,2015,2.039928699,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL22: Portugal,R08: Southern region,2016,2.183309038,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL22: Portugal,R08: Southern region,2017,1.916789941,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL22: Portugal,R08: Southern region,2018,2.099209486,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL22: Portugal,R08: Southern region,2019,2.301617149,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL22: Portugal,R08: Southern region,2020,1.960427136,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL22: Portugal,R08: Southern region,2021,2.301617149,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL09: Spain,R06: Mullerthal,2011,1.836283186,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL09: Spain,R06: Mullerthal,2012,4.1,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL09: Spain,R06: Mullerthal,2013,2.505813953,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL09: Spain,R06: Mullerthal,2014,1.877470356,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL09: Spain,R06: Mullerthal,2015,2.901023891,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL09: Spain,R06: Mullerthal,2016,2.604651163,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL09: Spain,R06: Mullerthal,2017,3.243093923,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL09: Spain,R06: Mullerthal,2018,3.86407767,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL09: Spain,R06: Mullerthal,2019,3.762135922,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL09: Spain,R06: Mullerthal,2020,1.972222222,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL09: Spain,R06: Mullerthal,2021,3.762135922,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL29: Iceland,R07: Moselle,2011,1.5,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL29: Iceland,R07: Moselle,2012,2.714285714,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL29: Iceland,R07: Moselle,2013,2.947368421,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL29: Iceland,R07: Moselle,2014,2.761904762,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL29: Iceland,R07: Moselle,2015,7.36,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL29: Iceland,R07: Moselle,2016,1.823529412,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL29: Iceland,R07: Moselle,2017,1.48,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL29: Iceland,R07: Moselle,2018,1.518518519,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL29: Iceland,R07: Moselle,2019,1.391304348,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL29: Iceland,R07: Moselle,2020,1.333333333,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL29: Iceland,R07: Moselle,2021,1.391304348,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SL03: Russia,R08: Southern region,2011,1.468834688,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SL03: Russia,R08: Southern region,2012,1.223514212,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SL03: Russia,R08: Southern region,2013,1.241613013,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SL03: Russia,R08: Southern region,2014,1.317927171,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SL03: Russia,R08: Southern region,2015,1.399507793,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SL03: Russia,R08: Southern region,2016,1.96389325,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SL03: Russia,R08: Southern region,2017,1.975862069,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SL03: Russia,R08: Southern region,2018,2.014583333,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SL03: Russia,R08: Southern region,2019,1.990583804,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SL03: Russia,R08: Southern region,2020,1.595628415,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SL03: Russia,R08: Southern region,2021,1.772256729,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL08: Denmark,R07: Moselle,2011,2.086378738,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL08: Denmark,R07: Moselle,2012,2.89456869,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL08: Denmark,R07: Moselle,2013,2.390501319,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL08: Denmark,R07: Moselle,2014,2.413907285,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL08: Denmark,R07: Moselle,2015,1.841269841,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL08: Denmark,R07: Moselle,2016,2.176470588,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL08: Denmark,R07: Moselle,2017,2.067961165,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL08: Denmark,R07: Moselle,2018,2.441295547,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL08: Denmark,R07: Moselle,2019,2.38671875,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL08: Denmark,R07: Moselle,2020,2.415254237,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL08: Denmark,R07: Moselle,2021,2.38671875,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL11: Finland,R05: Ardennes,2011,1.278846154,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL11: Finland,R05: Ardennes,2012,1.5,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL11: Finland,R05: Ardennes,2013,1.715846995,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL11: Finland,R05: Ardennes,2014,2.341666667,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL11: Finland,R05: Ardennes,2015,1.653333333,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL11: Finland,R05: Ardennes,2016,1.509433962,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL11: Finland,R05: Ardennes,2017,1.619565217,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL11: Finland,R05: Ardennes,2018,1.973684211,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL11: Finland,R05: Ardennes,2019,2.027027027,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL11: Finland,R05: Ardennes,2020,3.510204082,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL11: Finland,R05: Ardennes,2021,2.027027027,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL28: Sweden,R05: Ardennes,2011,1.598802395,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL28: Sweden,R05: Ardennes,2012,1.48,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL28: Sweden,R05: Ardennes,2013,1.778409091,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL28: Sweden,R05: Ardennes,2014,1.828193833,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL28: Sweden,R05: Ardennes,2015,1.625514403,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL28: Sweden,R05: Ardennes,2016,1.802325581,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL28: Sweden,R05: Ardennes,2017,1.820512821,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL28: Sweden,R05: Ardennes,2018,2.258503401,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL28: Sweden,R05: Ardennes,2019,2.082089552,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL28: Sweden,R05: Ardennes,2020,1.545454545,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL28: Sweden,R05: Ardennes,2021,2.082089552,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SL02: EFTA countries,R07: Moselle,2011,1.814569536,,1: One,SL30: European Free Trade Association,,,,,
LU1:DF_D5303(1.0),A: Annual,SL02: EFTA countries,R07: Moselle,2012,2.126279863,,1: One,SL30: European Free Trade Association,,,,,
LU1:DF_D5303(1.0),A: Annual,SL02: EFTA countries,R07: Moselle,2013,1.75,,1: One,SL30: European Free Trade Association,,,,,
LU1:DF_D5303(1.0),A: Annual,SL02: EFTA countries,R07: Moselle,2014,1.824204947,,1: One,SL30: European Free Trade Association,,,,,
LU1:DF_D5303(1.0),A: Annual,SL02: EFTA countries,R07: Moselle,2015,2.006227758,,1: One,SL30: European Free Trade Association,,,,,
LU1:DF_D5303(1.0),A: Annual,SL02: EFTA countries,R07: Moselle,2016,1.874434389,,1: One,SL30: European Free Trade Association,,,,,
LU1:DF_D5303(1.0),A: Annual,SL02: EFTA countries,R07: Moselle,2017,1.927254098,,1: One,SL30: European Free Trade Association,,,,,
LU1:DF_D5303(1.0),A: Annual,SL02: EFTA countries,R07: Moselle,2018,2.027180068,,1: One,SL30: European Free Trade Association,,,,,
LU1:DF_D5303(1.0),A: Annual,SL02: EFTA countries,R07: Moselle,2019,1.977667494,,1: One,SL30: European Free Trade Association,,,,,
LU1:DF_D5303(1.0),A: Annual,SL02: EFTA countries,R07: Moselle,2020,1.778735632,,1: One,SL30: European Free Trade Association,,,,,
LU1:DF_D5303(1.0),A: Annual,SL02: EFTA countries,R07: Moselle,2021,1.795180723,,1: One,SL30: European Free Trade Association,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL25: United Kingdom,R07: Moselle,2011,2.444693572,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL25: United Kingdom,R07: Moselle,2012,1.957369062,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL25: United Kingdom,R07: Moselle,2013,1.982262997,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL25: United Kingdom,R07: Moselle,2014,1.998640381,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL25: United Kingdom,R07: Moselle,2015,1.824309979,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL25: United Kingdom,R07: Moselle,2016,1.765128205,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL25: United Kingdom,R07: Moselle,2017,1.765632693,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL25: United Kingdom,R07: Moselle,2018,1.720287452,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL25: United Kingdom,R07: Moselle,2019,1.845518868,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL25: United Kingdom,R07: Moselle,2020,,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL25: United Kingdom,R07: Moselle,2021,,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SL05: Ukraine,R05: Ardennes,2011,1.615384615,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SL05: Ukraine,R05: Ardennes,2012,1.6,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SL05: Ukraine,R05: Ardennes,2013,7.210526316,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SL05: Ukraine,R05: Ardennes,2014,1.391304348,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SL05: Ukraine,R05: Ardennes,2015,1.620689655,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SL05: Ukraine,R05: Ardennes,2016,2.024390244,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SL05: Ukraine,R05: Ardennes,2017,1.873015873,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SL05: Ukraine,R05: Ardennes,2018,2.158730159,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SL05: Ukraine,R05: Ardennes,2019,1.676056338,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SL05: Ukraine,R05: Ardennes,2020,1.888888889,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SL05: Ukraine,R05: Ardennes,2021,1.315789474,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL32: of which: United Kingdom,R02: Centre,2011,,,,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL32: of which: United Kingdom,R02: Centre,2012,,,,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL32: of which: United Kingdom,R02: Centre,2013,,,,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL32: of which: United Kingdom,R02: Centre,2014,,,,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL32: of which: United Kingdom,R02: Centre,2015,,,,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL32: of which: United Kingdom,R02: Centre,2016,,,,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL32: of which: United Kingdom,R02: Centre,2017,,,,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL32: of which: United Kingdom,R02: Centre,2018,,,,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL32: of which: United Kingdom,R02: Centre,2019,,,,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL32: of which: United Kingdom,R02: Centre,2020,1.943049602,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL32: of which: United Kingdom,R02: Centre,2021,1.770882342,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SL03: Russia,R06: Mullerthal,2011,1.372093023,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SL03: Russia,R06: Mullerthal,2012,2.144230769,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SL03: Russia,R06: Mullerthal,2013,1.987654321,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SL03: Russia,R06: Mullerthal,2014,1.575757576,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SL03: Russia,R06: Mullerthal,2015,1.574468085,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SL03: Russia,R06: Mullerthal,2016,1.717391304,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SL03: Russia,R06: Mullerthal,2017,3.243902439,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SL03: Russia,R06: Mullerthal,2018,1.867924528,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SL03: Russia,R06: Mullerthal,2019,1.761904762,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SL03: Russia,R06: Mullerthal,2020,1.666666667,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SL03: Russia,R06: Mullerthal,2021,1.517241379,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL05: Bulgaria,R08: Southern region,2011,2.204761905,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL05: Bulgaria,R08: Southern region,2012,1.837209302,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL05: Bulgaria,R08: Southern region,2013,2.52027027,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL05: Bulgaria,R08: Southern region,2014,2.62371134,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL05: Bulgaria,R08: Southern region,2015,2.139423077,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL05: Bulgaria,R08: Southern region,2016,2.132450331,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL05: Bulgaria,R08: Southern region,2017,2.234177215,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL05: Bulgaria,R08: Southern region,2018,2.172932331,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL05: Bulgaria,R08: Southern region,2019,2.705521472,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL05: Bulgaria,R08: Southern region,2020,1.761904762,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL05: Bulgaria,R08: Southern region,2021,1.88976378,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL07: Croatia,R02: Centre,2011,3.409867173,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL07: Croatia,R02: Centre,2012,2.876056338,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL07: Croatia,R02: Centre,2013,2.951244813,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL07: Croatia,R02: Centre,2014,2.696780893,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL07: Croatia,R02: Centre,2015,2.514458642,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL07: Croatia,R02: Centre,2016,3.914893617,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL07: Croatia,R02: Centre,2017,3.20228385,,1: One,,,,,,
LU1:DF_D5303(1.0),A: Annual,SSL07: Croatia,R02: Centre,2018,2.836363636,,1: One,,,,,,
