DATAFLOW,PRICE: Price,FREQ: Frequency,TIME_PERIOD: Time period,OBS_VALUE,NOTE_QUARTER_2: Note quarter 2,NOTE_QUARTER_1: Note quarter 1,NOTE_PRICE_2: Note Price 2,NOTE_PRICE_1: Note Price 1,OBS_STATUS: Observation status,DECIMALS: Decimals
LU1:DF_A4504(1.0),SL01: Price without taxes and excises,Q: Quarterly,2022-Q3,0.937,,,,,,3: Three
LU1:DF_A4504(1.0),SL01: Price without taxes and excises,Q: Quarterly,2022-Q4,0.849,,,,,,3: Three
LU1:DF_A4504(1.0),SL04: Prices without taxes and excises,A: Annual,2007,0.53,,,,,,3: Three
LU1:DF_A4504(1.0),SL04: Prices without taxes and excises,A: Annual,2007-Q1,,,,,,,
LU1:DF_A4504(1.0),SL04: Prices without taxes and excises,A: Annual,2007-Q2,,,,,,,
LU1:DF_A4504(1.0),SL04: Prices without taxes and excises,A: Annual,2007-Q3,,,,,,,
LU1:DF_A4504(1.0),SL04: Prices without taxes and excises,A: Annual,2007-Q4,,,,,,,
LU1:DF_A4504(1.0),SL04: Prices without taxes and excises,A: Annual,2008,0.5775,,,,,,3: Three
LU1:DF_A4504(1.0),SL04: Prices without taxes and excises,A: Annual,2008-Q1,,,,,,,
LU1:DF_A4504(1.0),SL04: Prices without taxes and excises,A: Annual,2008-Q2,,,,,,,
LU1:DF_A4504(1.0),SL04: Prices without taxes and excises,A: Annual,2008-Q3,,,,,,,
LU1:DF_A4504(1.0),SL04: Prices without taxes and excises,A: Annual,2008-Q4,,,,,,,
LU1:DF_A4504(1.0),SL04: Prices without taxes and excises,A: Annual,2009,0.4563,,,,,,3: Three
LU1:DF_A4504(1.0),SL04: Prices without taxes and excises,A: Annual,2009-Q1,,,,,,,
LU1:DF_A4504(1.0),SL04: Prices without taxes and excises,A: Annual,2009-Q2,,,,,,,
LU1:DF_A4504(1.0),SL04: Prices without taxes and excises,A: Annual,2009-Q3,,,,,,,
LU1:DF_A4504(1.0),SL04: Prices without taxes and excises,A: Annual,2009-Q4,,,,,,,
LU1:DF_A4504(1.0),SL04: Prices without taxes and excises,A: Annual,2010,0.573,,,,,,3: Three
LU1:DF_A4504(1.0),SL04: Prices without taxes and excises,A: Annual,2010-Q1,,,,,,,
LU1:DF_A4504(1.0),SL04: Prices without taxes and excises,A: Annual,2010-Q2,,,,,,,
LU1:DF_A4504(1.0),SL04: Prices without taxes and excises,A: Annual,2010-Q3,,,,,,,
LU1:DF_A4504(1.0),SL04: Prices without taxes and excises,A: Annual,2010-Q4,,,,,,,
LU1:DF_A4504(1.0),SL04: Prices without taxes and excises,A: Annual,2011,0.684,,,,,,3: Three
LU1:DF_A4504(1.0),SL04: Prices without taxes and excises,A: Annual,2011-Q1,,,,,,,
LU1:DF_A4504(1.0),SL04: Prices without taxes and excises,A: Annual,2011-Q2,,,,,,,
LU1:DF_A4504(1.0),SL04: Prices without taxes and excises,A: Annual,2011-Q3,,,,,,,
LU1:DF_A4504(1.0),SL04: Prices without taxes and excises,A: Annual,2011-Q4,,,,,,,
LU1:DF_A4504(1.0),SL04: Prices without taxes and excises,A: Annual,2012,0.77,,,,,,3: Three
LU1:DF_A4504(1.0),SL04: Prices without taxes and excises,A: Annual,2012-Q1,,,,,,,
LU1:DF_A4504(1.0),SL04: Prices without taxes and excises,A: Annual,2012-Q2,,,,,,,
LU1:DF_A4504(1.0),SL04: Prices without taxes and excises,A: Annual,2012-Q3,,,,,,,
LU1:DF_A4504(1.0),SL04: Prices without taxes and excises,A: Annual,2012-Q4,,,,,,,
LU1:DF_A4504(1.0),SL04: Prices without taxes and excises,A: Annual,2013,0.746,,,,,,3: Three
LU1:DF_A4504(1.0),SL04: Prices without taxes and excises,A: Annual,2013-Q1,,,,,,,
LU1:DF_A4504(1.0),SL04: Prices without taxes and excises,A: Annual,2013-Q2,,,,,,,
LU1:DF_A4504(1.0),SL04: Prices without taxes and excises,A: Annual,2013-Q3,,,,,,,
LU1:DF_A4504(1.0),SL04: Prices without taxes and excises,A: Annual,2013-Q4,,,,,,,
LU1:DF_A4504(1.0),SL04: Prices without taxes and excises,A: Annual,2014,0.7015,,,,,,3: Three
LU1:DF_A4504(1.0),SL04: Prices without taxes and excises,A: Annual,2014-Q1,,,,,,,
LU1:DF_A4504(1.0),SL04: Prices without taxes and excises,A: Annual,2014-Q2,,,,,,,
LU1:DF_A4504(1.0),SL04: Prices without taxes and excises,A: Annual,2014-Q3,,,,,,,
LU1:DF_A4504(1.0),SL04: Prices without taxes and excises,A: Annual,2014-Q4,,,,,,,
LU1:DF_A4504(1.0),SL04: Prices without taxes and excises,A: Annual,2015,0.596,,,,,,3: Three
LU1:DF_A4504(1.0),SL04: Prices without taxes and excises,A: Annual,2015-Q1,,,,,,,
LU1:DF_A4504(1.0),SL04: Prices without taxes and excises,A: Annual,2015-Q2,,,,,,,
LU1:DF_A4504(1.0),SL04: Prices without taxes and excises,A: Annual,2015-Q3,,,,,,,
LU1:DF_A4504(1.0),SL04: Prices without taxes and excises,A: Annual,2015-Q4,,,,,,,
LU1:DF_A4504(1.0),SL04: Prices without taxes and excises,A: Annual,2016,0.525,,,,,,3: Three
LU1:DF_A4504(1.0),SL04: Prices without taxes and excises,A: Annual,2016-Q1,,,,,,,
LU1:DF_A4504(1.0),SL04: Prices without taxes and excises,A: Annual,2016-Q2,,,,,,,
LU1:DF_A4504(1.0),SL04: Prices without taxes and excises,A: Annual,2016-Q3,,,,,,,
LU1:DF_A4504(1.0),SL04: Prices without taxes and excises,A: Annual,2016-Q4,,,,,,,
LU1:DF_A4504(1.0),SL04: Prices without taxes and excises,A: Annual,2017,0.584,,,,,,3: Three
LU1:DF_A4504(1.0),SL04: Prices without taxes and excises,A: Annual,2017-Q1,,,,,,,
LU1:DF_A4504(1.0),SL04: Prices without taxes and excises,A: Annual,2017-Q2,,,,,,,
LU1:DF_A4504(1.0),SL04: Prices without taxes and excises,A: Annual,2017-Q3,,,,,,,
LU1:DF_A4504(1.0),SL04: Prices without taxes and excises,A: Annual,2017-Q4,,,,,,,
LU1:DF_A4504(1.0),SL04: Prices without taxes and excises,A: Annual,2018,0.629,,,,,,3: Three
LU1:DF_A4504(1.0),SL04: Prices without taxes and excises,A: Annual,2018-Q1,,,,,,,
LU1:DF_A4504(1.0),SL04: Prices without taxes and excises,A: Annual,2018-Q2,,,,,,,
LU1:DF_A4504(1.0),SL04: Prices without taxes and excises,A: Annual,2018-Q3,,,,,,,
LU1:DF_A4504(1.0),SL04: Prices without taxes and excises,A: Annual,2018-Q4,,,,,,,
LU1:DF_A4504(1.0),SL04: Prices without taxes and excises,A: Annual,2019,0.576,,,,,,3: Three
LU1:DF_A4504(1.0),SL04: Prices without taxes and excises,A: Annual,2019-Q1,,,,,,,
LU1:DF_A4504(1.0),SL04: Prices without taxes and excises,A: Annual,2019-Q2,,,,,,,
LU1:DF_A4504(1.0),SL04: Prices without taxes and excises,A: Annual,2019-Q3,,,,,,,
LU1:DF_A4504(1.0),SL04: Prices without taxes and excises,A: Annual,2019-Q4,,,,,,,
LU1:DF_A4504(1.0),SL04: Prices without taxes and excises,A: Annual,2020,0.516,,,,,,3: Three
LU1:DF_A4504(1.0),SL04: Prices without taxes and excises,A: Annual,2020-Q1,,,,,,,
LU1:DF_A4504(1.0),SL04: Prices without taxes and excises,A: Annual,2020-Q2,,,,,,,
LU1:DF_A4504(1.0),SL04: Prices without taxes and excises,A: Annual,2020-Q3,,,,,,,
LU1:DF_A4504(1.0),SL04: Prices without taxes and excises,A: Annual,2020-Q4,,,,,,,
LU1:DF_A4504(1.0),SL04: Prices without taxes and excises,A: Annual,2021,0.684,,,,,,3: Three
LU1:DF_A4504(1.0),SL04: Prices without taxes and excises,A: Annual,2021-Q1,,,,,,,
LU1:DF_A4504(1.0),SL04: Prices without taxes and excises,A: Annual,2021-Q2,,,,,,,
LU1:DF_A4504(1.0),SL04: Prices without taxes and excises,A: Annual,2021-Q3,,,,,,,
LU1:DF_A4504(1.0),SL04: Prices without taxes and excises,A: Annual,2021-Q4,,,,,,,
LU1:DF_A4504(1.0),SL04: Prices without taxes and excises,A: Annual,2022,1.076,,,,,,3: Three
LU1:DF_A4504(1.0),SL04: Prices without taxes and excises,A: Annual,2022-Q1,,,,,,,
LU1:DF_A4504(1.0),SL04: Prices without taxes and excises,A: Annual,2022-Q2,,,,,,,
LU1:DF_A4504(1.0),SL04: Prices without taxes and excises,A: Annual,2022-Q3,,,,,,,
LU1:DF_A4504(1.0),SL04: Prices without taxes and excises,A: Annual,2022-Q4,,,,,,,
LU1:DF_A4504(1.0),SL03: Price with taxes and excises,A: Annual,2007,1.122,,,,,,3: Three
LU1:DF_A4504(1.0),SL03: Price with taxes and excises,A: Annual,2007-Q1,,,,,,,
LU1:DF_A4504(1.0),SL03: Price with taxes and excises,A: Annual,2007-Q2,,,,,,,
LU1:DF_A4504(1.0),SL03: Price with taxes and excises,A: Annual,2007-Q3,,,,,,,
LU1:DF_A4504(1.0),SL03: Price with taxes and excises,A: Annual,2007-Q4,,,,,,,
LU1:DF_A4504(1.0),SL03: Price with taxes and excises,A: Annual,2008,1.1775625,,,,,,3: Three
LU1:DF_A4504(1.0),SL03: Price with taxes and excises,A: Annual,2008-Q1,,,,,,,
LU1:DF_A4504(1.0),SL03: Price with taxes and excises,A: Annual,2008-Q2,,,,,,,
LU1:DF_A4504(1.0),SL03: Price with taxes and excises,A: Annual,2008-Q3,,,,,,,
LU1:DF_A4504(1.0),SL03: Price with taxes and excises,A: Annual,2008-Q4,,,,,,,
LU1:DF_A4504(1.0),SL03: Price with taxes and excises,A: Annual,2009,1.0349,,,,,,3: Three
LU1:DF_A4504(1.0),SL03: Price with taxes and excises,A: Annual,2009-Q1,,,,,,,
LU1:DF_A4504(1.0),SL03: Price with taxes and excises,A: Annual,2009-Q2,,,,,,,
LU1:DF_A4504(1.0),SL03: Price with taxes and excises,A: Annual,2009-Q3,,,,,,,
LU1:DF_A4504(1.0),SL03: Price with taxes and excises,A: Annual,2009-Q4,,,,,,,
LU1:DF_A4504(1.0),SL03: Price with taxes and excises,A: Annual,2010,1.163,,,,,,3: Three
LU1:DF_A4504(1.0),SL03: Price with taxes and excises,A: Annual,2010-Q1,,,,,,,
LU1:DF_A4504(1.0),SL03: Price with taxes and excises,A: Annual,2010-Q2,,,,,,,
LU1:DF_A4504(1.0),SL03: Price with taxes and excises,A: Annual,2010-Q3,,,,,,,
LU1:DF_A4504(1.0),SL03: Price with taxes and excises,A: Annual,2010-Q4,,,,,,,
LU1:DF_A4504(1.0),SL03: Price with taxes and excises,A: Annual,2011,1.2875,,,,,,3: Three
LU1:DF_A4504(1.0),SL03: Price with taxes and excises,A: Annual,2011-Q1,,,,,,,
LU1:DF_A4504(1.0),SL03: Price with taxes and excises,A: Annual,2011-Q2,,,,,,,
LU1:DF_A4504(1.0),SL03: Price with taxes and excises,A: Annual,2011-Q3,,,,,,,
LU1:DF_A4504(1.0),SL03: Price with taxes and excises,A: Annual,2011-Q4,,,,,,,
LU1:DF_A4504(1.0),SL03: Price with taxes and excises,A: Annual,2012,1.382,,,,,,3: Three
LU1:DF_A4504(1.0),SL03: Price with taxes and excises,A: Annual,2012-Q1,,,,,,,
LU1:DF_A4504(1.0),SL03: Price with taxes and excises,A: Annual,2012-Q2,,,,,,,
LU1:DF_A4504(1.0),SL03: Price with taxes and excises,A: Annual,2012-Q3,,,,,,,
LU1:DF_A4504(1.0),SL03: Price with taxes and excises,A: Annual,2012-Q4,,,,,,,
