DATAFLOW,FREQ: Frequency,SPECIFICATION: Specification,TIME_PERIOD: Time period,OBS_VALUE,OBS_STATUS: Observation status,DECIMALS: Decimals,NOTE_MONTH_2: Note Month 2,NOTE_MONTH_1: Note Month 1,NOTE_SPECIFICATION_2: Note specification 2,NOTE_SPECIFICATION_1: Note specification 1
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2013-12,149393000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2014-01,98269052,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2014-02,73728551,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2014-03,162145950,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2014-04,179243403,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2014-05,7369450,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2014-06,6821000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2014-07,6624000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2014-08,5909000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2014-09,92661550,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2014-10,186575000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2014-11,203715550,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2014-12,200900500,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2015-01,184761000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2015-02,190652053,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2015-03,157686600,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2015-04,21748300,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2015-05,26739100,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2015-06,7562000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2015-07,7727000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2015-08,7553000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2015-09,32141800,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2015-10,9740000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2015-11,9069000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2015-12,7566000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2016-01,7710000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2016-02,7857200,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2016-03,7572000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2016-04,8653000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2016-05,8030000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2016-06,8354000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2016-07,8669000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2016-08,8671000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2016-09,4723000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2016-10,5658000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2016-11,8949000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2016-12,9669000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2017-01,9683000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2017-02,8921000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2017-03,5930000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2017-04,9232000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2017-05,9174000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2017-06,9299000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2017-07,9915000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2017-08,8895000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2017-09,5199000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2017-10,8451000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2017-11,9741000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2017-12,10065000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2018-01,8773000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2018-02,7602000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2018-03,3697000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2018-04,9822000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2018-05,10302000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2018-06,9747000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2018-07,9840000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2018-08,9064000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2018-09,7349000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2018-10,9962000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2018-11,9729000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2018-12,8502000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2019-01,8698000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2019-02,8465000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2019-03,4678000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2019-04,10077000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2019-05,10064000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2019-06,9671000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2019-07,10116000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2019-08,8695000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2019-09,7186000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2019-10,9258000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2019-11,9653000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2019-12,9001000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2020-01,8784000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2020-02,8204000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2020-03,8044000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2020-04,6370000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2020-05,8874000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2020-06,9050000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2020-07,9489000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2020-08,7422000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2020-09,3370000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2020-10,9826000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2020-11,8858000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2020-12,7433000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2021-01,6547000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2021-02,6132000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2021-03,6870000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2021-04,8821000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2021-05,8499000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2021-06,8476000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2021-07,8560000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2021-08,9153000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2021-09,4909000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2021-10,7290000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2021-11,8958000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2021-12,9117000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2022-01,7973000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2022-02,7186000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2022-03,6809000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2022-04,8898000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2022-05,8783000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2022-06,7923000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2022-07,7986000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2022-08,7893000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A05: Thermic production,2022-09,4366000,,0: Zero,,,,
LU1:DF_A4102(1.0),M: Monthly,A07: Biogaz CHP production,2008-01,3477378,,0: Zero,,,A07: Définitions : Biométhanisation (production),
LU1:DF_A4102(1.0),M: Monthly,A07: Biogaz CHP production,2008-02,3105901,,0: Zero,,,A07: Définitions : Biométhanisation (production),
LU1:DF_A4102(1.0),M: Monthly,A07: Biogaz CHP production,2008-03,3596567,,0: Zero,,,A07: Définitions : Biométhanisation (production),
LU1:DF_A4102(1.0),M: Monthly,A07: Biogaz CHP production,2008-04,3639754,,0: Zero,,,A07: Définitions : Biométhanisation (production),
LU1:DF_A4102(1.0),M: Monthly,A07: Biogaz CHP production,2008-05,3244814,,0: Zero,,,A07: Définitions : Biométhanisation (production),
LU1:DF_A4102(1.0),M: Monthly,A07: Biogaz CHP production,2008-06,3401130,,0: Zero,,,A07: Définitions : Biométhanisation (production),
LU1:DF_A4102(1.0),M: Monthly,A07: Biogaz CHP production,2008-07,3418832,,0: Zero,,,A07: Définitions : Biométhanisation (production),
LU1:DF_A4102(1.0),M: Monthly,A07: Biogaz CHP production,2008-08,3393362,,0: Zero,,,A07: Définitions : Biométhanisation (production),
LU1:DF_A4102(1.0),M: Monthly,A07: Biogaz CHP production,2008-09,3122010,,0: Zero,,,A07: Définitions : Biométhanisation (production),
LU1:DF_A4102(1.0),M: Monthly,A07: Biogaz CHP production,2008-10,3250979,,0: Zero,,,A07: Définitions : Biométhanisation (production),
LU1:DF_A4102(1.0),M: Monthly,A07: Biogaz CHP production,2008-11,3815448,,0: Zero,,,A07: Définitions : Biométhanisation (production),
LU1:DF_A4102(1.0),M: Monthly,A07: Biogaz CHP production,2008-12,6360538,,0: Zero,,,A07: Définitions : Biométhanisation (production),
LU1:DF_A4102(1.0),M: Monthly,A07: Biogaz CHP production,2009-01,4838546,,0: Zero,,,A07: Définitions : Biométhanisation (production),
LU1:DF_A4102(1.0),M: Monthly,A07: Biogaz CHP production,2009-02,4133777,,0: Zero,,,A07: Définitions : Biométhanisation (production),
LU1:DF_A4102(1.0),M: Monthly,A07: Biogaz CHP production,2009-03,4621722,,0: Zero,,,A07: Définitions : Biométhanisation (production),
LU1:DF_A4102(1.0),M: Monthly,A07: Biogaz CHP production,2009-04,4455192,,0: Zero,,,A07: Définitions : Biométhanisation (production),
LU1:DF_A4102(1.0),M: Monthly,A07: Biogaz CHP production,2009-05,4426430,,0: Zero,,,A07: Définitions : Biométhanisation (production),
LU1:DF_A4102(1.0),M: Monthly,A07: Biogaz CHP production,2009-06,4082599,,0: Zero,,,A07: Définitions : Biométhanisation (production),
LU1:DF_A4102(1.0),M: Monthly,A07: Biogaz CHP production,2009-07,4321281,,0: Zero,,,A07: Définitions : Biométhanisation (production),
LU1:DF_A4102(1.0),M: Monthly,A07: Biogaz CHP production,2009-08,4661307,,0: Zero,,,A07: Définitions : Biométhanisation (production),
LU1:DF_A4102(1.0),M: Monthly,A07: Biogaz CHP production,2009-09,3995745,,0: Zero,,,A07: Définitions : Biométhanisation (production),
LU1:DF_A4102(1.0),M: Monthly,A07: Biogaz CHP production,2009-10,4729533,,0: Zero,,,A07: Définitions : Biométhanisation (production),
LU1:DF_A4102(1.0),M: Monthly,A07: Biogaz CHP production,2009-11,4697603,,0: Zero,,,A07: Définitions : Biométhanisation (production),
LU1:DF_A4102(1.0),M: Monthly,A07: Biogaz CHP production,2009-12,4108606,,0: Zero,,,A07: Définitions : Biométhanisation (production),
LU1:DF_A4102(1.0),M: Monthly,A07: Biogaz CHP production,2010-01,4874312,,0: Zero,,,A07: Définitions : Biométhanisation (production),
LU1:DF_A4102(1.0),M: Monthly,A07: Biogaz CHP production,2010-02,4324272,,0: Zero,,,A07: Définitions : Biométhanisation (production),
LU1:DF_A4102(1.0),M: Monthly,A07: Biogaz CHP production,2010-03,4702968,,0: Zero,,,A07: Définitions : Biométhanisation (production),
LU1:DF_A4102(1.0),M: Monthly,A07: Biogaz CHP production,2010-04,4648315,,0: Zero,,,A07: Définitions : Biométhanisation (production),
LU1:DF_A4102(1.0),M: Monthly,A07: Biogaz CHP production,2010-05,4793855,,0: Zero,,,A07: Définitions : Biométhanisation (production),
LU1:DF_A4102(1.0),M: Monthly,A07: Biogaz CHP production,2010-06,4823205,,0: Zero,,,A07: Définitions : Biométhanisation (production),
LU1:DF_A4102(1.0),M: Monthly,A07: Biogaz CHP production,2010-07,4672812,,0: Zero,,,A07: Définitions : Biométhanisation (production),
LU1:DF_A4102(1.0),M: Monthly,A07: Biogaz CHP production,2010-08,4610012,,0: Zero,,,A07: Définitions : Biométhanisation (production),
LU1:DF_A4102(1.0),M: Monthly,A07: Biogaz CHP production,2010-09,4470452,,0: Zero,,,A07: Définitions : Biométhanisation (production),
LU1:DF_A4102(1.0),M: Monthly,A07: Biogaz CHP production,2010-10,4524717,,0: Zero,,,A07: Définitions : Biométhanisation (production),
LU1:DF_A4102(1.0),M: Monthly,A07: Biogaz CHP production,2010-11,4632538,,0: Zero,,,A07: Définitions : Biométhanisation (production),
LU1:DF_A4102(1.0),M: Monthly,A07: Biogaz CHP production,2010-12,4471357,,0: Zero,,,A07: Définitions : Biométhanisation (production),
LU1:DF_A4102(1.0),M: Monthly,A07: Biogaz CHP production,2011-01,4577536,,0: Zero,,,A07: Définitions : Biométhanisation (production),
LU1:DF_A4102(1.0),M: Monthly,A07: Biogaz CHP production,2011-02,4362196,,0: Zero,,,A07: Définitions : Biométhanisation (production),
LU1:DF_A4102(1.0),M: Monthly,A07: Biogaz CHP production,2011-03,4835356,,0: Zero,,,A07: Définitions : Biométhanisation (production),
LU1:DF_A4102(1.0),M: Monthly,A07: Biogaz CHP production,2011-04,4566381,,0: Zero,,,A07: Définitions : Biométhanisation (production),
LU1:DF_A4102(1.0),M: Monthly,A07: Biogaz CHP production,2011-05,4677111,,0: Zero,,,A07: Définitions : Biométhanisation (production),
LU1:DF_A4102(1.0),M: Monthly,A07: Biogaz CHP production,2011-06,4388495,,0: Zero,,,A07: Définitions : Biométhanisation (production),
LU1:DF_A4102(1.0),M: Monthly,A07: Biogaz CHP production,2011-07,4632610,,0: Zero,,,A07: Définitions : Biométhanisation (production),
LU1:DF_A4102(1.0),M: Monthly,A07: Biogaz CHP production,2011-08,4302675,,0: Zero,,,A07: Définitions : Biométhanisation (production),
LU1:DF_A4102(1.0),M: Monthly,A07: Biogaz CHP production,2011-09,4378913,,0: Zero,,,A07: Définitions : Biométhanisation (production),
LU1:DF_A4102(1.0),M: Monthly,A07: Biogaz CHP production,2011-10,4588381,,0: Zero,,,A07: Définitions : Biométhanisation (production),
LU1:DF_A4102(1.0),M: Monthly,A07: Biogaz CHP production,2011-11,4649200,,0: Zero,,,A07: Définitions : Biométhanisation (production),
LU1:DF_A4102(1.0),M: Monthly,A07: Biogaz CHP production,2011-12,4775666,,0: Zero,,,A07: Définitions : Biométhanisation (production),
LU1:DF_A4102(1.0),M: Monthly,A07: Biogaz CHP production,2012-01,4966235,,0: Zero,,,A07: Définitions : Biométhanisation (production),
LU1:DF_A4102(1.0),M: Monthly,A07: Biogaz CHP production,2012-02,4844384,,0: Zero,,,A07: Définitions : Biométhanisation (production),
LU1:DF_A4102(1.0),M: Monthly,A07: Biogaz CHP production,2012-03,5062862,,0: Zero,,,A07: Définitions : Biométhanisation (production),
LU1:DF_A4102(1.0),M: Monthly,A07: Biogaz CHP production,2012-04,4894468,,0: Zero,,,A07: Définitions : Biométhanisation (production),
LU1:DF_A4102(1.0),M: Monthly,A07: Biogaz CHP production,2012-05,4847593,,0: Zero,,,A07: Définitions : Biométhanisation (production),
LU1:DF_A4102(1.0),M: Monthly,A07: Biogaz CHP production,2012-06,4491615,,0: Zero,,,A07: Définitions : Biométhanisation (production),
LU1:DF_A4102(1.0),M: Monthly,A07: Biogaz CHP production,2012-07,4571416,,0: Zero,,,A07: Définitions : Biométhanisation (production),
LU1:DF_A4102(1.0),M: Monthly,A07: Biogaz CHP production,2012-08,4436292,,0: Zero,,,A07: Définitions : Biométhanisation (production),
LU1:DF_A4102(1.0),M: Monthly,A07: Biogaz CHP production,2012-09,4192098,,0: Zero,,,A07: Définitions : Biométhanisation (production),
LU1:DF_A4102(1.0),M: Monthly,A07: Biogaz CHP production,2012-10,4492766,,0: Zero,,,A07: Définitions : Biométhanisation (production),
LU1:DF_A4102(1.0),M: Monthly,A07: Biogaz CHP production,2012-11,5316441,,0: Zero,,,A07: Définitions : Biométhanisation (production),
LU1:DF_A4102(1.0),M: Monthly,A07: Biogaz CHP production,2012-12,5212075,,0: Zero,,,A07: Définitions : Biométhanisation (production),
LU1:DF_A4102(1.0),M: Monthly,A07: Biogaz CHP production,2013-01,4809027,,0: Zero,,,A07: Définitions : Biométhanisation (production),
LU1:DF_A4102(1.0),M: Monthly,A07: Biogaz CHP production,2013-02,4909379,,0: Zero,,,A07: Définitions : Biométhanisation (production),
LU1:DF_A4102(1.0),M: Monthly,A07: Biogaz CHP production,2013-03,5228647,,0: Zero,,,A07: Définitions : Biométhanisation (production),
LU1:DF_A4102(1.0),M: Monthly,A07: Biogaz CHP production,2013-04,5065781,,0: Zero,,,A07: Définitions : Biométhanisation (production),
